Title,Rating,Review,Price,MRP,Discount,Delivery,Offer
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074)                                      ,   4   ,53 Reviews      ,"₹2,699    ","₹8,000    ",66% off ,Free delivery ,Bank Offer    
"DELL S Series 68.58 cm (27 inch) Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light tec...  ",   4.4 ,545 Reviews     ,"₹11,999   ","₹23,316   ",48% off ,Free delivery ,Upto          
"DELL 68.58 cm (27 inch) Full HD LED Backlit VA Panel with 16:9 Aspect Ratio, 300 Nits Brightness (Typi...  ",   4.4 ,35 Reviews      ,"₹9,299    ","₹31,859   ",70% off ,Free delivery ,Bank Offer    
ZEBSTER 50.8 cm (20 inch) HD VA Panel Monitor (Z-GV120)                                                      ,   3.8 ,20 Reviews      ,"₹2,699    ","₹6,999    ",61% off ,Free delivery ,Bank Offer    
"Acer 54.61 cm (21.5 inch) Full HD LED Backlit IPS Panel with 99% sRGB, HDMI & VGA Ports, Eye Care Moni...  ",   4.3 ,878 Reviews     ,"₹5,999    ","₹7,599    ",21% off ,Free delivery ,Bank Offer    
MarQ by Flipkart 60.96 cm (24 inch) Full HD IPS Panel Inbuilt Speakers Monitor (24FHDMEQNNXO)                ,   4.3 ,782 Reviews     ,"₹6,799    ","₹17,200   ",60% off ,Free delivery ,Bank Offer    
Enter 48.26 cm (19 inch) HD TN Panel Gaming Monitor (E-MO-A01)                                               ,   3.9 ,25 Reviews      ,"₹2,399    ","₹12,500   ",80% off ,Free delivery ,Bank Offer    
"Lenovo L-Series 55.88 cm (22 inch) Full HD LED Backlit IPS Panel with 99% sRGB, HDMI 1.4, VGA, 2X3W Sp...  ",   4.4 ,115 Reviews     ,"₹7,199    ","₹11,290   ",36% off ,Free delivery ,Only 9 left   
Frontech - 55.88 cm (22 inch) HD LED Backlit VA Panel Monitor (MON_0060)                                     ,   3.7 ,636 Reviews     ,"₹3,099    ","₹8,500    ",63% off ,Free delivery ,              
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...  ",   4.4 ,221 Reviews     ,"₹7,699    ","₹16,000   ",51% off ,Free delivery ,Bank Offer    
"DELL 60.96 cm (24 inch) Full HD IPS Panel 99% sRGB, 250 nits brightness , 3H Hardness, Gray-To-Gray (F...  ",   4.3 ,70 Reviews      ,"₹14,799   ","₹35,978   ",58% off ,Free delivery ,Bank Offer    
"DELL 68.58 cm (27 inch) Full HD IPS Panel Anti-Glare With 3H Hardness, Gray-To-Gray (Fast mode), Ports...  ",   4.3 ,70 Reviews      ,"₹17,399   ","₹43,636   ",60% off ,Free delivery ,Bank Offer    
ZEBRONICS Zebster 46.99 cm (18.5 inch) HD LED Backlit Monitor (ZEBSTER)                                      ,   3.4 ,9 Reviews       ,"₹2,799    ","₹7,222    ",61% off ,Free delivery ,              
"Lenovo L-Series 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with 99% sRGB, 1xHDMI1.4, 1xVGA, Tilt...  ",   4.2 ,4 Reviews       ,"₹11,599   ","₹15,590   ",25% off ,Free delivery ,              
"BenQ GW2790 68.58 cm (27 inch) Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display P...  ",   4.4 ,167 Reviews     ,"₹10,498   ","₹17,990   ",41% off ,Free delivery ,Only 5 left   
"MSI 60.96 cm (24 inch) Full HD IPS Panel with Anti-Flicker Technology, Less Blue, Light, Wide Color Ga...  ",   4.4 ,102 Reviews     ,"₹8,999    ","₹22,200   ",59% off ,Free delivery ,Bank Offer    
Lenovo 54.61 cm (21.5 inch) Full HD VA Panel Monitor (L22e-40)                                               ,   4.5 ,46 Reviews      ,"₹6,499    ","₹9,690    ",32% off ,Free delivery ,Only 2 left   
DELL S-Series 60.96 cm (24 inch) Full HD LED Backlit IPS Panel Monitor (S2425H)                              ,   4.3 ,1 Reviews       ,"₹10,499   ","₹18,999   ",44% off ,Free delivery ,Bank Offer    
"LG 81.28 cm (32 inch) Full HD LED Backlit IPS Panel with Motion Blur Reduction, OnScreen Control, Read...  ",   4.2 ,53 Reviews      ,"₹10,999   ","₹26,500   ",58% off ,Free delivery ,Only 3 left   
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...    ,   4.3 ,522 Reviews     ,"₹6,599    ","₹12,690   ",47% off ,Free delivery ,Upto          
"Lenovo L - Series 68.58 cm (27 Inch) Full HD LED Backlit IPS Panel with TUV Eye Care, Smart Display Cu...  ",   4.4 ,60 Reviews      ,"₹9,999    ","₹18,290   ",45% off ,Free delivery ,Only 4 left   
"DELL 54.61 cm (21.5 inch) Full HD LED Backlit VA Panel with 250 Nits Brightness, Contrast Ratio 3000:1...  ",   4.4 ,35 Reviews      ,"₹6,599    ","₹16,519   ",60% off ,Free delivery ,Only 3 left   
Enter 50.8 cm (20 inch) HD VA Panel Gaming Monitor (20 INCH HDMI)                                            ,   4   ,17 Reviews      ,"₹2,599    ","₹15,000   ",82% off ,Free delivery ,Bank Offer    
MarQ by Flipkart 60.96 cm (24 inch) Full HD LED Backlit VA Panel Monitor (24FHDMMQTT9B)                      ,   4.3 ,157 Reviews     ,"₹5,299    ","₹11,999   ",55% off ,Free delivery ,Bank Offer    
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
SAMSUNG 55.88 cm (22 inch) Full HD IPS Panel Monitor (LS22C310EAWXXL)                                        ,   4.4 ,"2,065 Reviews ","₹6,799    ","₹11,100   ",38% off ,Free delivery ,Upto          
"Acer Nitro 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with sRGB 99%, HDR10 Support, 2X2W Inbui...  ",   4.4 ,213 Reviews     ,"₹7,999    ","₹13,999   ",42% off ,Free delivery ,Bank Offer    
"DELL 49.53 cm (19.5 inch) HD with Contrast Ratio 600:1/600:1(Dynamic), 16.7 Million Colours, Colour Ga...  ",   4.3 ,230 Reviews     ,"₹5,599    ","₹12,529   ",55% off ,Free delivery ,Upto          
"Lenovo L-Series 68.58 cm (27 inch) Quad HD LED Backlit IPS Panel with 99% sRGB, 90% DCI-P3, 4x USB-A, ...  ",   3.5 ,2 Reviews       ,"₹21,990   ","₹26,190   ",16% off ,Free delivery ,Only 1 left   
Enter HDMI and VGA LED 50.8 cm (20 inch) Full HD TN Panel Monitor (20 inch)                                  ,   3.7 ,36 Reviews      ,"₹2,599    ","₹6,800    ",61% off ,Free delivery ,Bank Offer    
MarQ by Flipkart 55.88 cm (22 inch) Full HD LED Backlit VA Panel Inbuilt Speakers Monitor (22FHDMEQNNX...    ,   4.3 ,157 Reviews     ,"₹4,999    ","₹12,999   ",61% off ,Free delivery ,              
Lenovo 80.01 cm (31.5 inch) 4K Ultra HD IPS Panel Monitor (L32p-30)                                          ,   4.8 ,0 Reviews       ,"₹29,990   ","₹41,190   ",27% off ,Free delivery ,Only 1 left   
"Lenovo L-Series 68.58 cm (27 inch) Quad HD LED Backlit IPS Panel with 99% sRGB, 90% DCI-P3, 2xHDMI 2.1...  ",       ,                ,"₹20,699   ","₹22,390   ",7% off  ,Free delivery ,Only 7 left   
Frontech Ultima Series 55.88 cm (22 inch) Curved Full HD LED Backlit VA Panel Monitor (MON-0079C)            ,   4.2 ,29 Reviews      ,"₹5,750    ","₹19,500   ",70% off ,Free delivery ,Bank Offer    
MarQ by Flipkart 68.58 cm (27 inch) Full HD IPS Panel Inbuilt Speakers Monitor (27FHDMEQNNXO)                ,   4.3 ,782 Reviews     ,"₹7,999    ","₹19,500   ",58% off ,Free delivery ,Bank Offer    
"ZEBRONICS Pure Pixel 60.96 cm (24 inch) Full HD LED Backlit VA Panel with 16.7M colors, 16:9 Aspect Ra...  ",   4.2 ,252 Reviews     ,"₹6,699    ","₹24,999   ",73% off ,Free delivery ,Only 1 left   
"BenQ GW2490 60.96 cm (24 inch) Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display P...  ",   4.4 ,167 Reviews     ,"₹8,250    ","₹13,990   ",41% off ,Free delivery ,Only 5 left   
MarQ by Flipkart 55.88 cm (22 inch) Full HD IPS Panel Inbuilt Speakers Monitor (22FHDMEQNNXO)                ,   4.3 ,782 Reviews     ,"₹5,499    ","₹13,800   ",60% off ,Free delivery ,Bank Offer    
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED)               ,   4.2 ,825 Reviews     ,"₹11,999   ","₹29,999   ",60% off ,Free delivery ,Upto          
"Acer 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with EcoDisplay, Mercury Free, Flicker Free, Blu...  ",   4.4 ,"1,827 Reviews ","₹8,899    ","₹12,999   ",31% off ,Free delivery ,Only 6 left   
Frontech - 46.99 cm (18.5 inch) HD LED Backlit VA Panel Monitor (MON-0061)                                   ,   3.9 ,300 Reviews     ,"₹2,599    ","₹7,000    ",62% off ,Free delivery ,Bank Offer    
SAMSUNG 68.58 cm (27 inch) Full HD LED Backlit IPS Panel Frameless Monitor (LS27C310EAWXXL)                  ,   4.4 ,"2,065 Reviews ","₹8,899    ","₹17,600   ",49% off ,Free delivery ,Only 2 left   
"ZEBRONICS Pure Pixel 60.96 cm (24 inch) Full HD VA Panel with 250 nits brightness, HDMI, VGA, Ultra Sl...  ",   4.2 ,252 Reviews     ,"₹6,999    ","₹24,999   ",72% off ,Free delivery ,Bank Offer    
"Acer 54.61 cm (21.5 inch) Full HD LED Backlit VA Panel with ZeroFrame Design, Ergonomic Stand, Acer Vi...  ",   4.4 ,561 Reviews     ,"₹5,695    ","₹7,699    ",26% off ,Free delivery ,Only 3 left   
ZEBRONICS 60.96 cm (24 inch) Full HD VA Panel Wall Mountable Monitor (ZEB-A24FHD LED)                        ,   4.1 ,361 Reviews     ,"₹6,999    ","₹26,999   ",74% off ,Free delivery ,Upto          
"Acer NITRO 68.58 cm (27 inch) Full HD IPS Panel with sRGB 99%, HDR10 Support, 2X2W Inbuilt Speakers, A...  ",   4.4 ,213 Reviews     ,"₹11,390   ","₹15,999   ",28% off ,Free delivery ,Bank Offer    
Frontech - 48.26 cm (19 inch) HD LED Backlit VA Panel Monitor (MON-0001)                                     ,   3.7 ,636 Reviews     ,"₹2,699    ","₹7,500    ",64% off ,Free delivery ,Bank Offer    
"DELL 68.58 cm (27 inch) Full HD LED Backlit VA Panel with 16:9 Aspect Ratio, 300 Nits Brightness (Typi...  ",   4.4 ,35 Reviews      ,"₹9,299    ","₹31,859   ",70% off ,Free delivery ,Bank Offer    
"ZEBRONICS 54.61 cm (21.5 inch) Full HD VA Panel with VGA, HDMI, 16.7 Million Colors, Inbuilt Speakers,...  ",   4.1 ,39 Reviews      ,"₹6,399    ","₹23,999   ",73% off ,Free delivery ,Bank Offer    
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
"LG 60.45 cm (23.8 inch) Quad HD IPS Panel with sRGB 99%, USB-C (65W PD), Display Port, HDMI, Swivel/Ti...  ",   4.3 ,7 Reviews       ,"₹14,999   ","₹30,000   ",50% off ,Free delivery ,Only 2 left   
"Acer 54.61 cm (21.5 inch) Full HD IPS Panel with sRGB 99%, ENERGY STAR Certified, VESA Supportive, VGA...  ",   4.3 ,878 Reviews     ,"₹5,998    ","₹6,999    ",14% off ,Free delivery ,Only 2 left   
MarQ by Flipkart 55.88 cm (22 inch) Full HD LED Backlit IPS Panel Monitor (22FHDMEQNNXO)                     ,   4.2 ,132 Reviews     ,"₹5,899    ","₹12,999   ",54% off ,Free delivery ,Only 3 left   
"SAMSUNG 68.58 cm (27 inch) Full HD LED Backlit IPS Panel Flicker Free, HDMI, D-sub, Bezel Less Design ...  ",   4.4 ,9 Reviews       ,"₹8,599    ","₹16,200   ",46% off ,Free delivery ,Bank Offer    
"Acer 80.01 cm (31.5 inch) Full HD LED Backlit IPS Panel with VGA, HDMI, 2X1W Inbuilt Speakers, Flicker...  ",   4.1 ,8 Reviews       ,"₹13,999   ","₹17,999   ",22% off ,Free delivery ,Bank Offer    
MarQ by Flipkart 68.58 cm (27 inch) Full HD LED Backlit VA Panel Monitor (27FHDMMQTT9B)                      ,   4.3 ,157 Reviews     ,"₹6,499    ","₹14,599   ",55% off ,Free delivery ,Bank Offer    
"ZEBRONICS 46.99 cm (18.5 inch) HD LED Backlit TN Panel HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, G...  ",   3.9 ,872 Reviews     ,"₹2,899    ","₹6,999    ",58% off ,Free delivery ,Bank Offer    
"BenQ GW 55.88 cm (22 inch) Full HD LED Backlit IPS Panel Bezel-Less, Eye Care, Anti-Glare, Low Blue Li...  ",   4.4 ,280 Reviews     ,"₹7,298    ","₹11,990   ",39% off ,Free delivery ,Only 7 left   
"SAMSUNG M5 81.28 cm (32 inch) Full HD VA Panel with Mouse & Keyboard Control, OTT Apps, IoT Hub, Offic...  ",   4.4 ,49 Reviews      ,"₹19,299   ","₹36,500   ",47% off ,Free delivery ,Bank Offer    
Frontech 48.26 cm (19 inch) HD LED Backlit Monitor (MON-0071)                                                ,   3.9 ,51 Reviews      ,"₹2,545    ","₹8,500    ",70% off ,Free delivery ,Bank Offer    
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...  ",   3.9 ,8 Reviews       ,"₹9,999    ","₹19,999   ",50% off ,Free delivery ,Bank Offer    
"SAMSUNG Essential Series 151.89 cm (59.8 cm) Curved Full HD LED Backlit VA Panel with 1800R Curvature,...  ",   4.7 ,4 Reviews       ,"₹7,999    ","₹14,900   ",46% off ,Free delivery ,              
"BenQ GW 68.58 cm (27 inch) Quad HD LED Backlit IPS Panel Height Adjustable, 99% Srgb, Eye Safe Certifi...  ",   4.5 ,13 Reviews      ,"₹24,990   ","₹34,990   ",28% off ,Free delivery ,Only 1 left   
"Acer 54.61 cm (21.5 inch) Full HD IPS Panel with Blue Light Shield, Low Dimming, Comfy View, Eco Displ...  ",   4.3 ,302 Reviews     ,"₹6,862    ","₹10,000   ",31% off ,Free delivery ,Only 5 left   
MarQ by Flipkart 60.96 cm (24 inch) Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor ...    ,   4.3 ,"1,542 Reviews ","₹6,999    ","₹12,999   ",46% off ,Free delivery ,Upto          
"SAMSUNG 68.58 cm (27 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...  ",   4.4 ,221 Reviews     ,"₹10,099   ","₹18,100   ",44% off ,Free delivery ,Bank Offer    
"BenQ GW2490T 60.96 cm (24 inch) Full HD LED Backlit IPS Panel with 99% sRGB, Height Adjustable, Eye-ca...  ",   4.5 ,41 Reviews      ,"₹10,990   ","₹14,990   ",26% off ,Free delivery ,Only 9 left   
Enter 39.12 cm (15.4 inch) HD Monitor (e-m16a)                                                               ,   3.7 ,23 Reviews      ,"₹2,500    ","₹4,499    ",44% off ,Free delivery ,Only 1 left   
"ZEBRONICS 76.2 cm (30 inch) Curved WFHD VA Panel with 300 Nits Brightness, HDR10, 99% sRGB, 95% DCI-P3...  ",   4.9 ,3 Reviews       ,"₹17,999   ","₹42,999   ",58% off ,Free delivery ,Bank Offer    
"SAMSUNG 68.58 cm (27 inch) Curved Full HD VA Panel with 1800R Curvature, HDMI, Audio Ports, Flicker Fr...  ",   4.3 ,50 Reviews      ,"₹9,899    ","₹17,400   ",43% off ,Free delivery ,Upto          
"Acer 60.45 cm (23.8 inch) Full HD IPS Panel with-Visioncare, VGA, HDMI, Ergonomic Stand, Flicker-Free ...  ",   4.4 ,561 Reviews     ,"₹6,656    ","₹8,999    ",26% off ,Free delivery ,Only 9 left   
MarQ by Flipkart 68.58 cm (27 inch) Full HD IPS Panel Gaming Monitor (27FHDMIQII2G)                          ,   4.3 ,112 Reviews     ,"₹11,999   ","₹21,999   ",45% off ,Free delivery ,Only 1 left   
"SAMSUNG M5 68.58 cm (27 inch) Full HD VA Panel with Mouse & Keyboard Control, OTT Apps, IoT Hub, Offic...  ",   4.4 ,49 Reviews      ,"₹15,999   ","₹30,200   ",47% off ,Free delivery ,Bank Offer    
"ZEBRONICS 60.96 cm (24 inch) Full HD IPS Panel with 280 Nits Brightness, Built-in Speakers, HDR10, 99%...  ",   4.3 ,34 Reviews      ,"₹7,999    ","₹21,999   ",63% off ,Free delivery ,Bank Offer    
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
"Acer NITRO VG1 series 68.58 cm (27 inch) WQHD IPS Panel with DCI-P3 95%, HDR10 support, 2X2W Inbuilt S...  ",   4.3 ,33 Reviews      ,"₹14,999   ","₹23,999   ",37% off ,Free delivery ,Only 1 left   
"ZEBRONICS 55.88 cm (22 inch) HD+ LED Backlit VA Panel with Dual Input HDMI & VGA, 16:10 Aspect ratio, ...  ",   3.6 ,162 Reviews     ,"₹3,999    ","₹12,799   ",68% off ,Free delivery ,Only 9 left   
"SAMSUNG Essential Series S3 55.88 cm (22 inch) Full HD LED Backlit IPS Panel with D-Sub, HDMI Flat Mon...  ",   4.7 ,1 Reviews       ,"₹7,099    ","₹13,700   ",48% off ,Free delivery ,              
"SAMSUNG 68.58 cm (27 inch) Curved Full HD LED Backlit VA Panel with HDMI, Audio Ports, 1800R,Flicker F...  ",   4.4 ,88 Reviews      ,"₹9,799    ","₹20,700   ",52% off ,Free delivery ,Upto          
"Acer 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with Blue Light Shield, Low Dimming, Comfy Vie...  ",   4.3 ,302 Reviews     ,"₹7,958    ","₹9,999    ",20% off ,Free delivery ,Bank Offer    
"LG 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabil...  ",   4.3 ,180 Reviews     ,"₹7,600    ","₹16,500   ",53% off ,Free delivery ,Bank Offer    
Enter 48.26 cm (19 inch) SXGA Monitor (19 INCH LED MONITOR)                                                  ,   4   ,15 Reviews      ,"₹2,399    ","₹8,999    ",73% off ,Free delivery ,Bank Offer    
ZEBRONICS 68.58 cm (27 inch) Full HD VA Panel Wall Mountable Gaming Monitor (ZEB-A27FHD Slim Gaming LE...    ,   4   ,39 Reviews      ,"₹9,999    ","₹37,999   ",73% off ,Free delivery ,Only 9 left   
"SAMSUNG Odyssey G4 157.99 cm (62.2 cm) Full HD IPS Panel with Ergonomic Stand, HDR10, Dual Sync Compat...  ",   4.5 ,37 Reviews      ,"₹19,299   ","₹40,700   ",52% off ,Free delivery ,Only 8 left   
Acer Vero Series 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with Colorful Patterned Back Mood li...    ,   4.4 ,18 Reviews      ,"₹9,299    ","₹13,500   ",31% off ,Free delivery ,Only 7 left   
"LG 68.58 cm (27 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabiliz...  ",   4.3 ,180 Reviews     ,"₹9,999    ","₹19,000   ",47% off ,Free delivery ,Only 3 left   
"DELL 49.53 cm (19.5 inch) HD with Contrast Ratio 600:1/600:1(Dynamic), 16.7 Million Colours, Colour Ga...  ",   4.3 ,230 Reviews     ,"₹5,599    ","₹12,529   ",55% off ,Free delivery ,Upto          
"LG 68.58 cm (27 inch) Full HD IPS Panel with webOS, Apple AirPlay 2,HomeKit compatibility, 5Wx2 speake...  ",   4.3 ,58 Reviews      ,"₹14,499   ","₹24,500   ",40% off ,Free delivery ,Bank Offer    
Enter 39.12 cm (15.4 inch) HD Monitor (15.4 inch HD LED Backlit Monitor with HDMI & VGA (E-MO-A06))          ,   3.3 ,0 Reviews       ,"₹2,500    ","₹5,999    ",58% off ,Free delivery ,Bank Offer    
"Frontech Ultima Series TRIPLE INBUILT PORTS HDMI, VGA & TYPE C | 60.96 cm (24 inch) Full HD LED Backli...  ",   4.1 ,43 Reviews      ,"₹7,099    ","₹18,000   ",60% off ,Free delivery ,Only few left 
Frontech Ultima Series DUAL PORTS HDMI & VGA 60.96 cm (24 inch) Full HD LED Backlit VA Panel Monitor (...    ,   4.3 ,14 Reviews      ,"₹6,969    ","₹17,500   ",60% off ,Free delivery ,Bank Offer    
Frontech Ultima Series 60.96 cm (24 inch) Full HD LED Backlit IPS Panel Monitor (MON-0062-White)             ,   4.2 ,38 Reviews      ,"₹6,699    ","₹16,000   ",58% off ,Free delivery ,Bank Offer    
Lenovo 54.61 cm (21.5 inch) Full HD VA Panel Monitor (L22e-40)                                               ,   4.5 ,46 Reviews      ,"₹6,499    ","₹9,690    ",32% off ,Free delivery ,Only 2 left   
"Acer EK-Series 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with 250 Nits Brightness, HDMI & VGA...  ",   4.4 ,6 Reviews       ,"₹6,649    ","₹8,299    ",19% off ,Free delivery ,Bank Offer    
Frontech - 48.26 cm (19 inch) HD LED Backlit VA Panel Monitor (MON-0071)                                     ,   3.9 ,300 Reviews     ,"₹2,740    ","₹7,500    ",63% off ,Free delivery ,Bank Offer    
"SAMSUNG Essential Series S3 153.42 cm (60.4 cm) Full HD LED Backlit IPS Panel with D-Sub, HDMI Flat Mo...  ",   4.7 ,1 Reviews       ,"₹8,199    ","₹15,200   ",46% off ,Free delivery ,              
"HP 60.45 cm (23.8 inch) Full HD IPS Panel with On-screen controls, Anti-glare, 300 nits brightness, Ey...  ",   4.3 ,5 Reviews       ,"₹10,999   ","₹13,580   ",19% off ,Free delivery ,Bank Offer    
"ViewSonic 68.58 cm (27 inch) Quad HD IPS Panel with HDR10, 137 sRGB, Height Adjustment, Swivel, Tilt, ...  ",   4.3 ,21 Reviews      ,"₹16,499   ","₹30,500   ",45% off ,Free delivery ,Only 1 left   
"Acer 68.58 cm (27 inch) Full HD IPS Panel with Blue Light Shield, Low Dimming, Comfy View, Eco Display...  ",   4.3 ,302 Reviews     ,"₹9,299    ","₹12,999   ",28% off ,Free delivery ,Only 4 left   
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
                                                                                                             ,       ,                ,            ,            ,        ,              ,              
"Lenovo R-Series 63.5 cm (25 inch) Full HD IPS Panel with 99%sRGB, 90% DCI-P3, 3Wx2 Built-in Speakers, ...  ",   4.4 ,3 Reviews       ,"₹13,099   ","₹21,790   ",39% off ,Free delivery ,Only 2 left   
"ZEBRONICS 68.58 cm (27 inch) Full HD LED Backlit VA Panel with 300 Nits Brightness, 16:9 Aspect Ratio,...  ",   4.6 ,2 Reviews       ,"₹8,999    ","₹27,999   ",67% off ,Free delivery ,Bank Offer    
"LG 73.66 cm (29 inch) WFHD LED Backlit IPS Panel with HDR 10, Black Stabilizer, Dynamic Action Sync, D...  ",   4.4 ,96 Reviews      ,"₹15,800   ","₹23,000   ",31% off ,Free delivery ,Only few left 
MarQ by Flipkart 81.28 cm (32 inch) Full HD LED Backlit IPS Panel Monitor (32FHDMMQNN2B)                     ,   4.3 ,"1,542 Reviews ","₹9,899    ","₹22,999   ",56% off ,Free delivery ,Bank Offer    
"SAMSUNG Odyssey G3 68.58 cm (27 inch) Full HD VA Panel with Height Adjustable Stand, 3-Sided Borderles...  ",   4.5 ,44 Reviews      ,"₹14,239   ","₹24,800   ",42% off ,Free delivery ,Bank Offer    
"Acer XV2 68.58 cm (27 inch) WQHD LED Backlit IPS Panel with DCI-P3 95%, VESA DisplayHDR 400, Display W...  ",   4.4 ,29 Reviews      ,"₹17,394   ","₹25,999   ",33% off ,Free delivery ,Bank Offer    
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054)                                      ,   3.8 ,168 Reviews     ,"₹2,725    ","₹8,000    ",65% off ,Free delivery ,Only few left 
"LG UltraGear 60.96 cm (24 inch) Full HD IPS Panel with HDR10, NVIDIA G-SYNC Comaptible, Tilt-able Stan...  ",   4.3 ,56 Reviews      ,"₹11,000   ","₹20,000   ",45% off ,Free delivery ,Bank Offer    
Enter 55.88 cm (22 inch) HD TN Panel Gaming Monitor (22 INCH HDMI)                                           ,   4.2 ,1 Reviews       ,"₹3,299    ","₹18,999   ",82% off ,Free delivery ,Only 8 left   
Enter 43.18 cm (17 inch) HD Monitor (17.1 inch HD LED Backlit Monitor (E-M0-A02) (Response Time: 4 ms)...    ,   4.2 ,6 Reviews       ,"₹2,299    ","₹5,049    ",54% off ,Free delivery ,Bank Offer    
Enter 39.12 cm (15.4 inch) SXGA Monitor (VGA led Monitor)                                                    ,   3.7 ,7 Reviews       ,"₹2,500    ","₹3,900    ",35% off ,Free delivery ,Bank Offer    
Enter 43.43 cm (17.1 inch) HD TN Panel Monitor (E-M0-AO2)                                                    ,   3.8 ,16 Reviews      ,"₹2,500    ","₹6,999    ",64% off ,Free delivery ,Bank Offer    
